experiment;D_cm;D;rhofrac;hr_cm;hr;am_cm;am;as_cm;as;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;Fr_round;G;G_round
-;cm;m;-;cm;m;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;-;m-1;m-1
102;6.1;0.061;0.0195;5.35;0.0535;5.1;0.051;;;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.27576726690296155;0.276;44.11819555506309;44.12
103;6.1;0.061;0.019;4.3;0.043;4.2;0.042;;;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.38771375582929385;0.388;43.737847356588375;43.74
104;6.1;0.061;0.0195;9.6;0.096;7.9;0.079;;;3;0.003;0.004477611940298507;0;0;0;0;0.34418171406111037;0.344;21.20981619400933;21.21
105;6.1;0.061;0.019;9.2;0.092;7.85;0.0785;;;3;0.003;0.004477611940298507;0;0;0;0;0.37166649051825873;0.372;21.026963852070217;21.03
106;6.1;0.061;0.0195;8.15;0.0815;6.55;0.0655;;;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.4400056260403039;0.44;21.20981619400933;21.21
107;6.1;0.061;0.019;7.05;0.0705;5.55;0.0555;;;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.5540532061569973;0.554;21.026963852070217;21.03
108;6.1;0.061;0.0195;12.4;0.124;10.15;0.1015;;;5;0.005;0.007462686567164179;0;0;0;0;0.39076068704644795;0.391;15.088210641987333;15.09
109;6.1;0.061;0.0185;10.9;0.109;8.35;0.08349999999999999;;;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.48678264574702146;0.487;14.825753583439171;14.83
110;6.1;0.061;0.019;9.35;0.0935;7.35;0.0735;;;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.6045976867058671;0.605;14.958133387836618;14.96
111;6.1;0.061;0.0195;7.45;0.0745;6.15;0.061500000000000006;;;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.8390908458613967;0.839;15.088210641987333;15.09
112;6.1;0.061;0.0195;5.55;0.0555;5.1;0.051;;;1;0.001;0.0014925373134328358;0;0;0;0;0.26099603714614705;0.261;44.11819555506309;44.12
113;6.1;0.061;0.0195;4.8;0.048;4.35;0.0435;;;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.32449763196402726;0.324;44.11819555506309;44.12
